count,confidence_lower,confidence_upper,mean,std,min,25%,50%,75%,max,lower_boundary,upper_boundary,IQR,lower_whiskers,upper_whiskers,real_mean,real_std,lower_real,upper_real,macro,macro_mean,macro_std,macro_lower_bound,macro_upper_bound,curr_features,new_var,count_vars
1000.0,36.770549132213446,38.04341991721314,37.368610552309526,0.32461284672736174,36.41231068833899,37.14559931629897,37.362752042012026,37.59995890863153,38.78257083914449,36.732369372723895,38.00485173189516,0.4543595923325583,36.464059927800136,38.28149829713037,37.36823321587284,0.32245708101173004,36.73621733708985,38.000249094655835,[37.38356574205219],37.38356574205219,1.0,35.42356574205219,39.34356574205219,['content_id'],content_id,1
1000.0,37.387805150950214,38.707856856345124,38.03670549433716,0.32689467271495093,36.958065245542215,37.82090836906518,38.03660924989347,38.24330863986355,39.14212733805886,37.39599193581586,38.67741905285847,0.42240027079837006,37.18730796286762,38.8769090460611,38.03658488920559,0.3240675785637886,37.401412435220564,38.67175734319062,[38.049298009086165],38.049298009086165,1.0,36.089298009086164,40.009298009086166,['content_mean_answered_correctly'],content_mean_answered_correctly,1
1000.0,5.401540223143275,6.6946543117822,6.042794006509595,0.34346797912165367,5.062405216981647,5.813942551655549,6.025696455153485,6.277478734194197,7.154667102269108,5.369596767431154,6.715991245588037,0.4635361825386486,5.118638277847576,6.97278300800217,6.04254437966654,0.34227304831231053,5.371689204974412,6.713399554358669,[6.0427765075719675],6.0427765075719675,1.0,4.0827765075719675,8.002776507571967,['content_part_count_answered_correctly'],content_part_count_answered_correctly,1
1000.0,5.386164766099921,6.733578110089367,6.065537157308663,0.3516571713195119,4.883269004560664,5.824564266265902,6.06742652995278,6.301283029790999,7.274433132441738,5.37628910152242,6.754785213094906,0.47671876352509646,5.109486120978257,7.016361175078643,6.0654576849731106,0.34848963008579364,5.382418010004955,6.7484973599412665,[6.0427765075719675],6.0427765075719675,1.0,4.0827765075719675,8.002776507571967,['content_part_mean_answered_correctly'],content_part_mean_answered_correctly,1
1000.0,5.347012988619904,6.741311606102673,6.060178364161273,0.3578169947685655,4.620807986801956,5.826298262852087,6.065560251081015,6.305087624345518,7.371310105844442,5.358857054414885,6.761499673907662,0.47878936149343065,5.108114220611942,7.023271666585664,6.060006050674165,0.3533106752235749,5.367517127235958,6.752494974112372,[6.0427765075719675],6.0427765075719675,1.0,4.0827765075719675,8.002776507571967,['content_part_sum_answered_correctly'],content_part_sum_answered_correctly,1
1000.0,24.164282878745745,25.51972953253978,24.853938669973825,0.3456754380105349,23.730967350753463,24.621768669127174,24.85708277407045,25.078173840286027,25.952005340157314,24.176414811473176,25.531462528474474,0.4564051711588526,23.937160912388897,25.762781597024308,24.853849003014826,0.3426935046806995,24.182169733840656,25.525528272188996,[24.83935983755481],24.83935983755481,1.0,22.87935983755481,26.79935983755481,['content_sum_answered_correctly'],content_sum_answered_correctly,1
1000.0,15.289675259151835,16.64818838668691,15.971963411715683,0.34347397934642326,14.948351957604288,15.726673211170512,15.966939459089037,16.203473675929303,17.07017774421886,15.298754412196693,16.64517241123467,0.47680046475879045,15.011472514032327,16.91867437306749,15.971662682271313,0.34223358659876446,15.300884852537735,16.642440512004892,[15.965741635986674],15.965741635986674,1.0,14.005741635986674,17.925741635986675,['content_user_cl_count_user_id'],content_user_cl_count_user_id,1
1000.0,24.691924513374985,25.999187756520705,25.344522650031227,0.33692623386463416,24.125103848950058,25.11270873303892,25.344692911366117,25.57752157668231,26.422099777172512,24.684147231656542,26.00489806840591,0.46481284364339004,24.415489467573835,26.274740842147395,25.344773875230807,0.33508627339562985,24.688004779375373,26.00154297108624,[25.354317579093898],25.354317579093898,1.0,23.394317579093897,27.3143175790939,['content_user_count_user_id'],content_user_count_user_id,1
1000.0,17.96432220872324,19.27016604394749,18.611907659228027,0.33849363095824037,17.630991931942354,18.394258980889273,18.596404738874828,18.83918417379806,19.690142655442024,17.948460142549877,19.275355175906178,0.4449251929087872,17.726871191526094,19.506571963161242,18.611735887022135,0.33741382628560795,17.950404787502343,19.273066986541927,[18.59888271968053],18.59888271968053,1.0,16.63888271968053,20.558882719680533,['content_user_he_cl_count_user_id'],content_user_he_cl_count_user_id,1
1000.0,23.312205955987952,24.503272666878196,23.906798274036603,0.3214301639918652,22.92775434047689,23.680028455260736,23.90297796198474,24.121466680549702,24.970486493024403,23.276795152612547,24.53680139546066,0.4414382252889659,23.01787111732729,24.783624018483152,23.90644187425996,0.31985464740989,23.279526765336577,24.533356983183346,[23.905520651018698],23.905520651018698,1.0,21.945520651018697,25.8655206510187,['content_user_he_count_user_id'],content_user_he_count_user_id,1
